--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sat Oct  7 19:26:15 2023
--------------------------------------------------------------------------------

{'username': 'shubhamborse', 'name': 'diagnostics_agent', 'pid': 797, 'vms': 398663.03125}
{'username': 'shubhamborse', 'name': 'TextInputMenuAgent', 'pid': 799, 'vms': 399945.984375}
{'username': 'shubhamborse', 'name': 'Cloudflare WARP', 'pid': 806, 'vms': 400139.84375}
{'username': 'shubhamborse', 'name': 'ctkahp', 'pid': 811, 'vms': 398665.640625}
{'username': 'shubhamborse', 'name': 'storedownloadd', 'pid': 838, 'vms': 398662.5625}
{'username': 'shubhamborse', 'name': 'searchpartyuseragent', 'pid': 847, 'vms': 398719.859375}
{'username': 'shubhamborse', 'name': 'mdbulkimport', 'pid': 880, 'vms': 398680.234375}
{'username': 'shubhamborse', 'name': 'SiriNCService', 'pid': 951, 'vms': 398916.21875}
{'username': 'shubhamborse', 'name': 'PasswordBreachAgent', 'pid': 973, 'vms': 398673.84375}
{'username': 'shubhamborse', 'name': 'PowerChime', 'pid': 1015, 'vms': 398770.15625}
{'username': 'shubhamborse', 'name': 'AMPLibraryAgent', 'pid': 1131, 'vms': 398770.421875}
{'username': 'shubhamborse', 'name': 'mdwrite', 'pid': 1170, 'vms': 398675.625}
{'username': 'shubhamborse', 'name': 'mbuseragent', 'pid': 1278, 'vms': 398502.171875}
{'username': 'shubhamborse', 'name': 'assistant_service', 'pid': 1282, 'vms': 398777.25}
{'username': 'shubhamborse', 'name': 'storeaccountd', 'pid': 1291, 'vms': 398665.578125}
{'username': 'shubhamborse', 'name': 'universalAccessAuthWarn', 'pid': 1465, 'vms': 399894.4375}
{'username': 'shubhamborse', 'name': 'IMAutomaticHistoryDeletionAgent', 'pid': 1788, 'vms': 398661.546875}
{'username': 'shubhamborse', 'name': 'DiskUnmountWatcher', 'pid': 2195, 'vms': 398502.4375}
{'username': 'shubhamborse', 'name': 'Terminal', 'pid': 3060, 'vms': 401003.09375}
{'username': 'shubhamborse', 'name': 'zsh', 'pid': 3062, 'vms': 399114.28125}
{'username': 'shubhamborse', 'name': 'ThemeWidgetControlViewService', 'pid': 3073, 'vms': 399314.765625}
{'username': 'shubhamborse', 'name': 'knowledge-agent', 'pid': 4164, 'vms': 398708.640625}
{'username': 'shubhamborse', 'name': 'syncdefaultsd', 'pid': 4175, 'vms': 398703.890625}
{'username': 'shubhamborse', 'name': 'cloudd', 'pid': 4176, 'vms': 398734.515625}
{'username': 'shubhamborse', 'name': 'ScreenTimeAgent', 'pid': 4190, 'vms': 398712.28125}
{'username': 'shubhamborse', 'name': 'parsecd', 'pid': 4328, 'vms': 398707.5625}
{'username': 'shubhamborse', 'name': 'networkserviceproxy', 'pid': 4329, 'vms': 398711.953125}
{'username': 'shubhamborse', 'name': 'routined', 'pid': 4376, 'vms': 398676.015625}
{'username': 'shubhamborse', 'name': 'LinkedNotesUIService', 'pid': 4415, 'vms': 398766.125}
{'username': 'shubhamborse', 'name': 'gamecontrolleragentd', 'pid': 4500, 'vms': 398649.078125}
{'username': 'shubhamborse', 'name': 'CommCenter', 'pid': 4617, 'vms': 398710.015625}
{'username': 'shubhamborse', 'name': 'CoreLocationAgent', 'pid': 4618, 'vms': 398806.671875}
{'username': 'shubhamborse', 'name': 'callservicesd', 'pid': 4620, 'vms': 398715.890625}
{'username': 'shubhamborse', 'name': 'contactsd', 'pid': 4622, 'vms': 398705.734375}
{'username': 'shubhamborse', 'name': 'com.apple.FaceTime.FTConversationService', 'pid': 4623, 'vms': 399067.546875}
{'username': 'shubhamborse', 'name': 'dmd', 'pid': 4624, 'vms': 398702.90625}
{'username': 'shubhamborse', 'name': 'ManagedSettingsAgent', 'pid': 4625, 'vms': 398631.140625}
{'username': 'shubhamborse', 'name': 'Keychain Circle Notification', 'pid': 4628, 'vms': 398718.921875}
{'username': 'shubhamborse', 'name': 'cdpd', 'pid': 4629, 'vms': 398696.984375}
{'username': 'shubhamborse', 'name': 'triald', 'pid': 4632, 'vms': 398701.796875}
{'username': 'shubhamborse', 'name': 'intelligentroutingd', 'pid': 4634, 'vms': 398705.515625}
{'username': 'shubhamborse', 'name': 'containermanagerd', 'pid': 4635, 'vms': 398697.515625}
{'username': 'shubhamborse', 'name': 'SafariBookmarksSyncAgent', 'pid': 4637, 'vms': 398859.625}
{'username': 'shubhamborse', 'name': 'suggestd', 'pid': 4638, 'vms': 399038.9375}
{'username': 'shubhamborse', 'name': 'sociallayerd', 'pid': 4639, 'vms': 398690.234375}
{'username': 'shubhamborse', 'name': 'ContextService', 'pid': 4640, 'vms': 398803.671875}
{'username': 'shubhamborse', 'name': 'neagent', 'pid': 4641, 'vms': 398704.828125}
{'username': 'shubhamborse', 'name': 'replayd', 'pid': 4642, 'vms': 398715.0625}
{'username': 'shubhamborse', 'name': 'calaccessd', 'pid': 4643, 'vms': 398712.859375}
{'username': 'shubhamborse', 'name': 'com.apple.hiservices-xpcservice', 'pid': 4644, 'vms': 398538.15625}
{'username': 'shubhamborse', 'name': 'itunescloudd', 'pid': 4652, 'vms': 398736.28125}
{'username': 'shubhamborse', 'name': 'CoreServicesUIAgent', 'pid': 4653, 'vms': 400157.3125}
{'username': 'shubhamborse', 'name': 'UsageTrackingAgent', 'pid': 4656, 'vms': 398663.609375}
{'username': 'shubhamborse', 'name': 'secinitd', 'pid': 4657, 'vms': 398705.515625}
{'username': 'shubhamborse', 'name': 'mediaanalysisd', 'pid': 4658, 'vms': 398876.203125}
{'username': 'shubhamborse', 'name': 'bluetoothuserd', 'pid': 4660, 'vms': 398699.546875}
{'username': 'shubhamborse', 'name': 'pkd', 'pid': 4662, 'vms': 398705.28125}
{'username': 'shubhamborse', 'name': 'localizationswitcherd', 'pid': 4663, 'vms': 398698.25}
{'username': 'shubhamborse', 'name': 'com.apple.geod', 'pid': 4670, 'vms': 398707.84375}
{'username': 'shubhamborse', 'name': 'CategoriesService', 'pid': 4685, 'vms': 398669.6875}
{'username': 'shubhamborse', 'name': 'iconservicesagent', 'pid': 4688, 'vms': 398744.671875}
{'username': 'shubhamborse', 'name': 'AssetCacheLocatorService', 'pid': 4692, 'vms': 398694.25}
{'username': 'shubhamborse', 'name': 'iCloudNotificationAgent', 'pid': 4697, 'vms': 398723.875}
{'username': 'shubhamborse', 'name': 'biomesyncd', 'pid': 4707, 'vms': 398684.75}
{'username': 'shubhamborse', 'name': 'translationd', 'pid': 4714, 'vms': 398724.90625}
{'username': 'shubhamborse', 'name': 'ctkd', 'pid': 4717, 'vms': 398662.03125}
{'username': 'shubhamborse', 'name': 'coreauthd', 'pid': 4719, 'vms': 398698.546875}
{'username': 'shubhamborse', 'name': 'CursorUIViewService', 'pid': 4740, 'vms': 399603.59375}
{'username': 'shubhamborse', 'name': 'contentlinkingd', 'pid': 4742, 'vms': 398699.40625}
{'username': 'shubhamborse', 'name': 'webpushd', 'pid': 4744, 'vms': 398832.859375}
{'username': 'shubhamborse', 'name': 'swcd', 'pid': 4745, 'vms': 398698.3125}
{'username': 'shubhamborse', 'name': 'maild', 'pid': 4760, 'vms': 398681.8125}
{'username': 'shubhamborse', 'name': 'proactived', 'pid': 4761, 'vms': 398706.515625}
{'username': 'shubhamborse', 'name': 'CMFSyncAgent', 'pid': 4762, 'vms': 398501.640625}
{'username': 'shubhamborse', 'name': 'donotdisturbd', 'pid': 4763, 'vms': 398687.859375}
{'username': 'shubhamborse', 'name': 'IntelligencePlatformComputeService', 'pid': 4764, 'vms': 398665.28125}
{'username': 'shubhamborse', 'name': 'AppSSOAgent', 'pid': 4782, 'vms': 399521.46875}
{'username': 'shubhamborse', 'name': 'pbs', 'pid': 4785, 'vms': 398577.421875}
{'username': 'shubhamborse', 'name': 'Google Chrome', 'pid': 4786, 'vms': 432222.890625}
{'username': 'shubhamborse', 'name': 'chrome_crashpad_handler', 'pid': 4788, 'vms': 431255.296875}
{'username': 'shubhamborse', 'name': 'Google Chrome Helper (GPU)', 'pid': 4795, 'vms': 431965.15625}
{'username': 'shubhamborse', 'name': 'Google Chrome Helper', 'pid': 4796, 'vms': 431763.234375}
{'username': 'shubhamborse', 'name': 'Google Chrome Helper', 'pid': 4797, 'vms': 431708.4375}
{'username': 'shubhamborse', 'name': 'SafariLaunchAgent', 'pid': 4801, 'vms': 398671.09375}
{'username': 'shubhamborse', 'name': 'Google Chrome Helper (Renderer)', 'pid': 4810, 'vms': 1559562.6875}
{'username': 'shubhamborse', 'name': 'Google Chrome Helper (Renderer)', 'pid': 4814, 'vms': 1557425.484375}
{'username': 'shubhamborse', 'name': 'Google Chrome Helper', 'pid': 4815, 'vms': 431977.328125}
{'username': 'shubhamborse', 'name': 'AudioComponentRegistrar', 'pid': 4817, 'vms': 398697.59375}
{'username': 'shubhamborse', 'name': 'CarbonComponentScannerXPC', 'pid': 4818, 'vms': 33197.109375}
{'username': 'shubhamborse', 'name': 'MTLCompilerService', 'pid': 4822, 'vms': 399516.421875}
{'username': 'shubhamborse', 'name': 'MTLCompilerService', 'pid': 4823, 'vms': 399481.5}
{'username': 'shubhamborse', 'name': 'spindump_agent', 'pid': 4829, 'vms': 398494.203125}
{'username': 'shubhamborse', 'name': 'csnameddatad', 'pid': 4830, 'vms': 398538.03125}
{'username': 'shubhamborse', 'name': 'axassetsd', 'pid': 4831, 'vms': 398664.234375}
{'username': 'shubhamborse', 'name': 'com.apple.audio.ComponentTagHelper', 'pid': 4832, 'vms': 398502.078125}
{'username': 'shubhamborse', 'name': 'naturallanguaged', 'pid': 4836, 'vms': 398731.84375}
